subject_id,mae_30s,mae_60s
01,0.7843137254901962,0.7072135785007069
02,3.5294117647058827,3.1117397454031113
03,1.4379084967320261,0.0
04,1.1764705882352942,0.2828854314002829
05,2.4836601307189543,3.536067892503536
06,0.0,0.0
07,0.6535947712418301,0.0
08,10.980392156862743,11.315417256011315
09,3.7908496732026147,0.0
10,1.9607843137254903,0.2828854314002826
11,2.0915032679738563,0.5657708628005655
12,0.5228758169934641,0.28288543140028316
13,2.8758169934640523,3.3946251768033946
14,1.0457516339869282,0.5657708628005655
15,0.3921568627450981,0.7072135785007071
16,0.7843137254901962,0.14144271570014158
17,9.673202614379084,8.486562942008486
18,0.0,0.0
19,1.4379084967320261,1.1315417256011313
20,1.0457516339869282,0.14144271570014158
21,6.5359477124183005,7.92079207920792
22,1.6993464052287583,0.14144271570014158
23,2.2222222222222223,1.5558698727015556
24,0.0,0.0
25,4.313725490196079,4.101838755304101
26,4.705882352941177,5.657708628005657
27,0.3921568627450981,0.0
28,1.1764705882352942,0.8486562942008489
29,3.7908496732026147,4.6676096181046685
30,9.150326797385622,9.052333804809052
31,1.6993464052287583,1.555869872701556
32,1.4379084967320261,2.1216407355021216
33,7.320261437908496,9.75954738330976
34,2.6143790849673203,1.6973125884016973
35,5.620915032679738,3.6775106082036766
36,7.189542483660131,8.628005657708627
37,1.5686274509803924,0.7072135785007073
38,4.444444444444445,5.091937765205091
39,5.4901960784313735,4.526166902404526
40,2.2222222222222223,2.121640735502121
41,2.3529411764705883,2.828854314002829
42,0.13071895424836602,0.0
43,6.405228758169936,6.364922206506363
44,3.0065359477124187,1.6973125884016966
45,1.6993464052287583,0.2828854314002826
46,4.313725490196079,6.364922206506364
47,1.9607843137254903,1.555869872701556
48,2.2222222222222223,1.2729844413012728
49,0.5228758169934641,0.5657708628005658
50,1.1764705882352942,0.9900990099009898
51,1.3071895424836601,0.99009900990099
52,0.3921568627450981,0.14144271570014158
53,3.6601307189542487,3.5360678925035365
